Time,Theta_Analytical,Theta,Omega,Theta_Errors,Omega_Errors,Energy
2.360000,0.118546,0.118546,-1.385179,0.000000,0.000000,1.028461
2.370000,0.104638,0.104638,-1.396175,0.000000,0.000000,1.028461
2.380000,0.090627,0.090627,-1.405786,0.000000,0.000000,1.028461
2.390000,0.076527,0.076527,-1.414006,0.000000,0.000000,1.028461
2.400000,0.062352,0.062352,-1.420830,0.000000,0.000000,1.028461
2.410000,0.048115,0.048115,-1.426255,0.000000,0.000000,1.028461
2.420000,0.033832,0.033832,-1.430277,0.000000,0.000000,1.028461
2.430000,0.019515,0.019515,-1.432894,0.000000,0.000000,1.028461
2.440000,0.005178,0.005178,-1.434106,0.000000,0.000000,1.028461
2.450000,-0.009163,-0.009163,-1.433910,0.000000,0.000000,1.028461
2.460000,-0.023495,-0.023495,-1.432308,0.000000,0.000000,1.028461
2.470000,-0.037804,-0.037804,-1.429300,0.000000,0.000000,1.028461
2.480000,-0.052076,-0.052076,-1.424888,0.000000,0.000000,1.028461
2.490000,-0.066297,-0.066297,-1.419074,0.000000,0.000000,1.028461
2.500000,-0.080453,-0.080453,-1.411862,0.000000,0.000000,1.028461
2.510000,-0.094530,-0.094530,-1.403255,0.000000,0.000000,1.028461
2.520000,-0.108514,-0.108514,-1.393259,0.000000,0.000000,1.028461
2.530000,-0.122391,-0.122391,-1.381879,0.000000,0.000000,1.028461
2.540000,-0.136147,-0.136147,-1.369122,0.000000,0.000000,1.028461
2.550000,-0.149768,-0.149768,-1.354996,0.000000,0.000000,1.028461
2.560000,-0.163242,-0.163242,-1.339510,0.000000,0.000000,1.028461
2.570000,-0.176554,-0.176554,-1.322673,0.000000,0.000000,1.028461
2.580000,-0.189691,-0.189691,-1.304496,0.000000,0.000000,1.028461
2.590000,-0.202640,-0.202640,-1.284991,0.000000,0.000000,1.028461
2.600000,-0.215387,-0.215387,-1.264171,0.000000,0.000000,1.028461
2.610000,-0.227919,-0.227919,-1.242051,0.000000,0.000000,1.028461
2.620000,-0.240223,-0.240223,-1.218646,0.000000,0.000000,1.028461
2.630000,-0.252287,-0.252287,-1.193973,0.000000,0.000000,1.028461
2.640000,-0.264099,-0.264099,-1.168051,0.000000,0.000000,1.028461
2.650000,-0.275644,-0.275644,-1.140899,0.000000,0.000000,1.028461
2.660000,-0.286912,-0.286912,-1.112538,0.000000,0.000000,1.028461
2.670000,-0.297891,-0.297891,-1.082993,0.000000,0.000000,1.028461
2.680000,-0.308568,-0.308568,-1.052285,0.000000,0.000000,1.028461
2.690000,-0.318933,-0.318933,-1.020443,0.000000,0.000000,1.028461
2.700000,-0.328974,-0.328974,-0.987492,0.000000,0.000000,1.028461
2.710000,-0.338679,-0.338679,-0.953463,0.000000,0.000000,1.028461
2.720000,-0.348039,-0.348039,-0.918386,0.000000,0.000000,1.028461
2.730000,-0.357044,-0.357044,-0.882294,0.000000,0.000000,1.028461
2.740000,-0.365682,-0.365682,-0.845221,0.000000,0.000000,1.028461
2.750000,-0.373945,-0.373945,-0.807201,0.000000,0.000000,1.028461
2.760000,-0.381823,-0.381823,-0.768274,0.000000,0.000000,1.028461
2.770000,-0.389307,-0.389307,-0.728479,0.000000,0.000000,1.028461
